test_patient,train_shape,test_shape,train_lable_count,test_label_count,accuracy,f1_score,precision,recall,conf_matrix,clf_report,loss
G04,"(18925, 25)","(725, 25)","{0.0: 13689, 1.0: 5236}","{1.0: 519, 0.0: 206}",0.25207754969596863,0.236979141831398,0.25207754969596863,0.25207754969596863,"[[ 80 123]
 [417 102]]","{'0': {'precision': 0.16096579476861167, 'recall': 0.39408866995073893, 'f1-score': 0.22857142857142856, 'support': 203}, '1': {'precision': 0.4533333333333333, 'recall': 0.19653179190751446, 'f1-score': 0.27419354838709675, 'support': 519}, 'accuracy': 0.2520775623268698, 'macro avg': {'precision': 0.3071495640509725, 'recall': 0.29531023092912667, 'f1-score': 0.25138248847926264, 'support': 722}, 'weighted avg': {'precision': 0.37113027193632714, 'recall': 0.2520775623268698, 'f1-score': 0.2613662764721651, 'support': 722}}",2.2068333625793457
G05,"(19185, 25)","(465, 25)","{0.0: 13430, 1.0: 5755}",{0.0: 465},0.8896104097366333,0.8376116156578064,0.8896104097366333,0.8896104097366333,"[[411  51]
 [  0   0]]","{'0': {'precision': 1.0, 'recall': 0.8896103896103896, 'f1-score': 0.9415807560137458, 'support': 462}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0}, 'accuracy': 0.8896103896103896, 'macro avg': {'precision': 0.5, 'recall': 0.4448051948051948, 'f1-score': 0.4707903780068729, 'support': 462}, 'weighted avg': {'precision': 1.0, 'recall': 0.8896103896103896, 'f1-score': 0.9415807560137458, 'support': 462}}",0.2391505390405655
G06,"(19193, 25)","(457, 25)","{0.0: 13590, 1.0: 5603}","{0.0: 305, 1.0: 152}",0.7819383144378662,0.6933593153953552,0.7819383144378662,0.7819383144378662,"[[244  58]
 [ 41 111]]","{'0': {'precision': 0.856140350877193, 'recall': 0.8079470198675497, 'f1-score': 0.8313458262350937, 'support': 302}, '1': {'precision': 0.6568047337278107, 'recall': 0.7302631578947368, 'f1-score': 0.691588785046729, 'support': 152}, 'accuracy': 0.7819383259911894, 'macro avg': {'precision': 0.7564725423025018, 'recall': 0.7691050888811433, 'f1-score': 0.7614673056409114, 'support': 454}, 'weighted avg': {'precision': 0.7894024350033909, 'recall': 0.7819383259911894, 'f1-score': 0.7845549225773152, 'support': 454}}",0.5416170954704285
G07,"(18855, 25)","(795, 25)","{0.0: 13762, 1.0: 5093}","{1.0: 662, 0.0: 133}",0.8787878751754761,0.8365384340286255,0.8787878751754761,0.8787878751754761,"[[ 40  90]
 [  6 656]]","{'0': {'precision': 0.8695652173913043, 'recall': 0.3076923076923077, 'f1-score': 0.4545454545454545, 'support': 130}, '1': {'precision': 0.8793565683646113, 'recall': 0.9909365558912386, 'f1-score': 0.9318181818181819, 'support': 662}, 'accuracy': 0.8787878787878788, 'macro avg': {'precision': 0.8744608928779578, 'recall': 0.6493144317917732, 'f1-score': 0.6931818181818181, 'support': 792}, 'weighted avg': {'precision': 0.8777494021694978, 'recall': 0.8787878787878788, 'f1-score': 0.853477961432507, 'support': 792}}",0.5131373405456543
G08,"(16730, 25)","(2920, 25)","{0.0: 13673, 1.0: 3057}","{1.0: 2698, 0.0: 222}",0.15769626200199127,0.16418182849884033,0.15769626200199127,0.15769626200199127,"[[ 206   13]
 [2444  254]]","{'0': {'precision': 0.07773584905660377, 'recall': 0.9406392694063926, 'f1-score': 0.14360404322063436, 'support': 219}, '1': {'precision': 0.951310861423221, 'recall': 0.09414381022979985, 'f1-score': 0.17133220910623947, 'support': 2698}, 'accuracy': 0.1576962632841961, 'macro avg': {'precision': 0.5145233552399123, 'recall': 0.5173915398180963, 'f1-score': 0.15746812616343692, 'support': 2917}, 'weighted avg': {'precision': 0.8857253531241845, 'recall': 0.1576962632841961, 'f1-score': 0.169250457879312, 'support': 2917}}",1.823910117149353
G09,"(19058, 25)","(592, 25)","{0.0: 13303, 1.0: 5755}",{0.0: 592},0.9830220937728882,0.984375,0.9830220937728882,0.9830220937728882,"[[579  10]
 [  0   0]]","{'0': {'precision': 1.0, 'recall': 0.9830220713073005, 'f1-score': 0.9914383561643835, 'support': 589}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0}, 'accuracy': 0.9830220713073005, 'macro avg': {'precision': 0.5, 'recall': 0.49151103565365023, 'f1-score': 0.49571917808219174, 'support': 589}, 'weighted avg': {'precision': 1.0, 'recall': 0.9830220713073005, 'f1-score': 0.9914383561643835, 'support': 589}}",0.069760762155056
G11,"(19274, 25)","(376, 25)","{0.0: 13590, 1.0: 5684}","{0.0: 305, 1.0: 71}",0.930294930934906,0.9274272918701172,0.930294930934906,0.930294930934906,"[[277  25]
 [  1  70]]","{'0': {'precision': 0.9964028776978417, 'recall': 0.9172185430463576, 'f1-score': 0.9551724137931034, 'support': 302}, '1': {'precision': 0.7368421052631579, 'recall': 0.9859154929577465, 'f1-score': 0.8433734939759036, 'support': 71}, 'accuracy': 0.9302949061662198, 'macro avg': {'precision': 0.8666224914804999, 'recall': 0.9515670180020521, 'f1-score': 0.8992729538845035, 'support': 373}, 'weighted avg': {'precision': 0.9469958673952612, 'recall': 0.9302949061662198, 'f1-score': 0.9338916542568536, 'support': 373}}",0.2015848457813263
P231,"(18900, 25)","(750, 25)","{0.0: 13145, 1.0: 5755}",{0.0: 750},0.9772422909736633,0.975956916809082,0.9772422909736633,0.9772422909736633,"[[730  17]
 [  0   0]]","{'0': {'precision': 1.0, 'recall': 0.9772423025435074, 'f1-score': 0.988490182802979, 'support': 747}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0}, 'accuracy': 0.9772423025435074, 'macro avg': {'precision': 0.5, 'recall': 0.4886211512717537, 'f1-score': 0.4942450914014895, 'support': 747}, 'weighted avg': {'precision': 1.0, 'recall': 0.9772423025435074, 'f1-score': 0.988490182802979, 'support': 747}}",0.04501282051205635
P351,"(16859, 25)","(2791, 25)","{0.0: 11104, 1.0: 5755}",{0.0: 2791},0.8920373320579529,0.8925583362579346,0.8920373320579529,0.8920373320579529,"[[2487  301]
 [   0    0]]","{'0': {'precision': 1.0, 'recall': 0.8920373027259685, 'f1-score': 0.9429383886255924, 'support': 2788}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0}, 'accuracy': 0.8920373027259685, 'macro avg': {'precision': 0.5, 'recall': 0.44601865136298424, 'f1-score': 0.4714691943127962, 'support': 2788}, 'weighted avg': {'precision': 1.0, 'recall': 0.8920373027259685, 'f1-score': 0.9429383886255923, 'support': 2788}}",0.1659695953130722
P379,"(18612, 25)","(1038, 25)","{0.0: 13180, 1.0: 5432}","{0.0: 715, 1.0: 323}",0.834782600402832,0.8295454978942871,0.834782600402832,0.834782600402832,"[[648  64]
 [107 216]]","{'0': {'precision': 0.8582781456953642, 'recall': 0.9101123595505618, 'f1-score': 0.8834355828220858, 'support': 712}, '1': {'precision': 0.7714285714285715, 'recall': 0.6687306501547987, 'f1-score': 0.7164179104477612, 'support': 323}, 'accuracy': 0.8347826086956521, 'macro avg': {'precision': 0.8148533585619678, 'recall': 0.7894215048526803, 'f1-score': 0.7999267466349235, 'support': 1035}, 'weighted avg': {'precision': 0.8311743655135535, 'recall': 0.8347826086956521, 'f1-score': 0.8313131594627555, 'support': 1035}}",0.7239881157875061
P551,"(18747, 25)","(903, 25)","{0.0: 13760, 1.0: 4987}","{1.0: 768, 0.0: 135}",0.8833333253860474,0.8281249403953552,0.8833333253860474,0.8833333253860474,"[[ 58  74]
 [ 31 737]]","{'0': {'precision': 0.651685393258427, 'recall': 0.4393939393939394, 'f1-score': 0.5248868778280543, 'support': 132}, '1': {'precision': 0.9087546239210851, 'recall': 0.9596354166666666, 'f1-score': 0.9335022165927803, 'support': 768}, 'accuracy': 0.8833333333333333, 'macro avg': {'precision': 0.780220008589756, 'recall': 0.699514678030303, 'f1-score': 0.7291945472104173, 'support': 900}, 'weighted avg': {'precision': 0.8710511367572286, 'recall': 0.8833333333333333, 'f1-score': 0.8735719669072872, 'support': 900}}",0.46811389923095703
P623,"(19145, 25)","(505, 25)","{0.0: 13390, 1.0: 5755}",{0.0: 505},0.9143426418304443,0.914930522441864,0.9143426418304443,0.9143426418304443,"[[459  43]
 [  0   0]]","{'0': {'precision': 1.0, 'recall': 0.9143426294820717, 'f1-score': 0.95525494276795, 'support': 502}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0}, 'accuracy': 0.9143426294820717, 'macro avg': {'precision': 0.5, 'recall': 0.45717131474103584, 'f1-score': 0.477627471383975, 'support': 502}, 'weighted avg': {'precision': 1.0, 'recall': 0.9143426294820717, 'f1-score': 0.95525494276795, 'support': 502}}",0.12342482805252075
P645,"(18855, 25)","(795, 25)","{0.0: 13100, 1.0: 5755}",{0.0: 795},0.8611111044883728,0.8677884340286255,0.8611111044883728,0.8611111044883728,"[[682 110]
 [  0   0]]","{'0': {'precision': 1.0, 'recall': 0.8611111111111112, 'f1-score': 0.9253731343283582, 'support': 792}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0}, 'accuracy': 0.8611111111111112, 'macro avg': {'precision': 0.5, 'recall': 0.4305555555555556, 'f1-score': 0.4626865671641791, 'support': 792}, 'weighted avg': {'precision': 1.0, 'recall': 0.8611111111111112, 'f1-score': 0.9253731343283582, 'support': 792}}",0.1795164942741394
P812,"(16083, 25)","(3567, 25)","{0.0: 10890, 1.0: 5193}","{0.0: 3005, 1.0: 562}",0.8280022740364075,0.8278206586837769,0.8280022740364075,0.8280022740364075,"[[2477  525]
 [  88  474]]","{'0': {'precision': 0.9656920077972709, 'recall': 0.8251165889407062, 'f1-score': 0.889886833123765, 'support': 3002}, '1': {'precision': 0.4744744744744745, 'recall': 0.8434163701067615, 'f1-score': 0.6073030108904548, 'support': 562}, 'accuracy': 0.8280022446689114, 'macro avg': {'precision': 0.7200832411358727, 'recall': 0.8342664795237338, 'f1-score': 0.74859492200711, 'support': 3564}, 'weighted avg': {'precision': 0.8882329018131487, 'recall': 0.8280022446689114, 'f1-score': 0.8453267579006674, 'support': 3564}}",0.3212762176990509
P876,"(19052, 25)","(598, 25)","{0.0: 13297, 1.0: 5755}",{0.0: 598},0.8890756368637085,0.8672696948051453,0.8890756368637085,0.8890756368637085,"[[529  66]
 [  0   0]]","{'0': {'precision': 1.0, 'recall': 0.8890756302521008, 'f1-score': 0.9412811387900356, 'support': 595}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0}, 'accuracy': 0.8890756302521008, 'macro avg': {'precision': 0.5, 'recall': 0.4445378151260504, 'f1-score': 0.4706405693950178, 'support': 595}, 'weighted avg': {'precision': 1.0, 'recall': 0.8890756302521008, 'f1-score': 0.9412811387900356, 'support': 595}}",0.15742920339107513
P940,"(17277, 25)","(2373, 25)","{0.0: 11522, 1.0: 5755}",{0.0: 2373},0.9253164529800415,0.9017269611358643,0.9253164529800415,0.9253164529800415,"[[2193  177]
 [   0    0]]","{'0': {'precision': 1.0, 'recall': 0.9253164556962026, 'f1-score': 0.9612097304404997, 'support': 2370}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0}, 'accuracy': 0.9253164556962026, 'macro avg': {'precision': 0.5, 'recall': 0.4626582278481013, 'f1-score': 0.48060486522024987, 'support': 2370}, 'weighted avg': {'precision': 1.0, 'recall': 0.9253164556962026, 'f1-score': 0.9612097304404998, 'support': 2370}}",0.1268339604139328
